2026-06-09 09:24:52.296 [restartedMain] WARN  o.s.b.w.s.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.support.BeanDefinitionOverrideException: Invalid bean definition with name 'springSecurityFilterChain' defined in class path resource [project/security/config_security/SpringSecurityConfig.class]: Cannot register bean definition [Root bean: class=null; scope=; abstract=false; lazyInit=null; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; fallback=false; factoryBeanName=springSecurityConfig; factoryMethodName=springSecurityFilterChain; initMethodNames=null; destroyMethodNames=[(inferred)]; defined in class path resource [project/security/config_security/SpringSecurityConfig.class]] for bean 'springSecurityFilterChain' since there is already [Root bean: class=null; scope=; abstract=false; lazyInit=null; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; fallback=false; factoryBeanName=org.springframework.security.config.annotation.web.configuration.WebSecurityConfiguration; factoryMethodName=springSecurityFilterChain; initMethodNames=null; destroyMethodNames=[(inferred)]; defined in class path resource [org/springframework/security/config/annotation/web/configuration/WebSecurityConfiguration.class]] bound.
2026-06-09 12:25:21.027 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-06-09 12:25:24.166 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2026-06-09 12:25:24.274 [restartedMain] WARN  o.s.b.j.a.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-06-09 12:29:48.809 [http-nio-8080-exec-3] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<project.model.dto.response.ApiDataResponse<project.model.dto.response.UserResponse>> project.controller.AuthController.registerUser(project.model.dto.request.UserDTO): [Field error in object 'userDTO' on field 'email': rejected value [example@gmail.com]; codes [ValidEmail.userDTO.email,ValidEmail.email,ValidEmail.java.lang.String,ValidEmail]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.email,email]; arguments []; default message [email]]; default message [Email đã tồn tại trong hệ thống !]] ]
2026-06-09 12:29:55.113 [http-nio-8080-exec-5] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<project.model.dto.response.ApiDataResponse<project.model.dto.response.UserResponse>> project.controller.AuthController.registerUser(project.model.dto.request.UserDTO) with 5 errors: [Field error in object 'userDTO' on field 'role': rejected value [null]; codes [NotNull.userDTO.role,NotNull.role,NotNull.project.model.entity.enum_type.RoleEnum,NotNull]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.role,role]; arguments []; default message [role]]; default message [Vui lòng chọn role !]] [Field error in object 'userDTO' on field 'email': rejected value []; codes [Pattern.userDTO.email,Pattern.email,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.email,email]; arguments []; default message [email],[Ljakarta.validation.constraints.Pattern$Flag;@7543e327,^[a-zA-A0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,6}$]; default message [Định dạng email không hợp lệ (Ví dụ: example@gmail.com)!]] [Field error in object 'userDTO' on field 'role': rejected value [null]; codes [ValidRoleUser.userDTO.role,ValidRoleUser.role,ValidRoleUser.project.model.entity.enum_type.RoleEnum,ValidRoleUser]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.role,role]; arguments []; default message [role]]; default message [Bạn chỉ có thể chọn ( EMPLOYER OR CANDIDATE ) trong hệ thống !]] [Field error in object 'userDTO' on field 'passwordHash': rejected value []; codes [NotBlank.userDTO.passwordHash,NotBlank.passwordHash,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.passwordHash,passwordHash]; arguments []; default message [passwordHash]]; default message [Mật khẩu không được để trống !]] [Field error in object 'userDTO' on field 'email': rejected value []; codes [NotBlank.userDTO.email,NotBlank.email,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.email,email]; arguments []; default message [email]]; default message [Email không được để trống !]] ]
2026-06-09 12:31:27.558 [http-nio-8080-exec-7] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<project.model.dto.response.ApiDataResponse<project.model.dto.response.UserResponse>> project.controller.AuthController.registerUser(project.model.dto.request.UserDTO) with 5 errors: [Field error in object 'userDTO' on field 'role': rejected value [null]; codes [NotNull.userDTO.role,NotNull.role,NotNull.project.model.entity.enum_type.RoleEnum,NotNull]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.role,role]; arguments []; default message [role]]; default message [Vui lòng chọn role !]] [Field error in object 'userDTO' on field 'email': rejected value []; codes [Pattern.userDTO.email,Pattern.email,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.email,email]; arguments []; default message [email],[Ljakarta.validation.constraints.Pattern$Flag;@7543e327,^[a-zA-A0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,6}$]; default message [Định dạng email không hợp lệ (Ví dụ: example@gmail.com)!]] [Field error in object 'userDTO' on field 'role': rejected value [null]; codes [ValidRoleUser.userDTO.role,ValidRoleUser.role,ValidRoleUser.project.model.entity.enum_type.RoleEnum,ValidRoleUser]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.role,role]; arguments []; default message [role]]; default message [Bạn chỉ có thể chọn ( EMPLOYER OR CANDIDATE ) trong hệ thống !]] [Field error in object 'userDTO' on field 'passwordHash': rejected value []; codes [NotBlank.userDTO.passwordHash,NotBlank.passwordHash,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.passwordHash,passwordHash]; arguments []; default message [passwordHash]]; default message [Mật khẩu không được để trống !]] [Field error in object 'userDTO' on field 'email': rejected value []; codes [NotBlank.userDTO.email,NotBlank.email,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.email,email]; arguments []; default message [email]]; default message [Email không được để trống !]] ]
2026-06-09 12:33:50.442 [http-nio-8080-exec-9] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Cannot coerce empty String ("") to `project.model.entity.enum_type.RoleEnum` value (but could if coercion was enabled using `CoercionConfig`)]
2026-06-09 12:34:07.963 [http-nio-8080-exec-10] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Cannot coerce empty String ("") to `project.model.entity.enum_type.RoleEnum` value (but could if coercion was enabled using `CoercionConfig`)]
2026-06-09 12:34:20.373 [http-nio-8080-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<project.model.dto.response.ApiDataResponse<project.model.dto.response.UserResponse>> project.controller.AuthController.registerUser(project.model.dto.request.UserDTO) with 4 errors: [Field error in object 'userDTO' on field 'passwordHash': rejected value []; codes [NotBlank.userDTO.passwordHash,NotBlank.passwordHash,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.passwordHash,passwordHash]; arguments []; default message [passwordHash]]; default message [Mật khẩu không được để trống !]] [Field error in object 'userDTO' on field 'email': rejected value [example@gmail.com]; codes [ValidEmail.userDTO.email,ValidEmail.email,ValidEmail.java.lang.String,ValidEmail]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.email,email]; arguments []; default message [email]]; default message [Email đã tồn tại trong hệ thống !]] [Field error in object 'userDTO' on field 'role': rejected value [null]; codes [NotNull.userDTO.role,NotNull.role,NotNull.project.model.entity.enum_type.RoleEnum,NotNull]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.role,role]; arguments []; default message [role]]; default message [Vui lòng chọn role !]] [Field error in object 'userDTO' on field 'role': rejected value [null]; codes [ValidRoleUser.userDTO.role,ValidRoleUser.role,ValidRoleUser.project.model.entity.enum_type.RoleEnum,ValidRoleUser]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [userDTO.role,role]; arguments []; default message [role]]; default message [Bạn chỉ có thể chọn ( EMPLOYER OR CANDIDATE ) trong hệ thống !]] ]
2026-06-09 12:34:57.300 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-06-09 12:34:57.633 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2026-06-09 12:34:57.702 [restartedMain] WARN  o.s.b.j.a.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-06-09 12:35:00.043 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-06-09 12:35:00.330 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2026-06-09 12:35:00.383 [restartedMain] WARN  o.s.b.j.a.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-06-09 12:36:00.457 [restartedMain] WARN  o.s.b.w.s.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Unable to start web server
2026-06-09 12:36:02.402 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-06-09 12:36:02.819 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2026-06-09 12:36:02.870 [restartedMain] WARN  o.s.b.j.a.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-06-09 12:37:21.051 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-06-09 12:37:23.168 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2026-06-09 12:37:23.287 [restartedMain] WARN  o.s.b.j.a.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-06-09 12:37:32.282 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-06-09 12:37:35.258 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2026-06-09 12:37:35.344 [restartedMain] WARN  o.s.b.j.a.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-06-09 12:41:32.345 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-06-09 12:41:32.640 [restartedMain] WARN  o.s.b.w.s.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'authController' defined in file [D:\HOC_LAP_TRINH\JavaWebService\Job_Matching_and_Recruitment_System\build\classes\java\main\project\controller\AuthController.class]: Unsatisfied dependency expressed through constructor parameter 0: No qualifying bean of type 'project.service.UserService' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {}
2026-06-09 12:41:34.616 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
